Comment,Designator,Footprint,LCSC,Quantity
0R 1%,"R40,R42",R_0402_1005Metric,C17168,2
1.5K/100MHz 0.5R,L2,R_0603_1608Metric,C82155,1
100R 1%,"R13,R15,R16,R22,R23,R24,R25,R27,R28,R30",R_Array_Convex_4x0603,C136838,10
100R 1%,"R12,R14,R21,R26,R29,R31,R32,R33",R_0402_1005Metric,C25076,8
100nF 50V,"C1,C10,C13,C14,C15,C17,C18,C19,C2,C21,C23,C3,C37,C38,C4,C40,C41,C42,C43,C44,C45,C46,C47,C48,C5,C51,C52,C58,C7,C8,C9",C_0402_1005Metric,C307331,31
10K 1%,"R10,R11,R53",R_0402_1005Metric,C25744,3
10pF 50V,"C11,C12",C_0402_1005Metric,C466222,2
10uF 50V,C56,C_1206_3216Metric,C13585,1
12.4K 1%,R50,R_0402_1005Metric,C490814,1
12MHz 10pF,X1,X3225,C20625731,1
15pF 50V,"C35,C36",C_0402_1005Metric,C1548,2
1K 1%,"R34,R5,R60,R62",R_0402_1005Metric,C11702,4
1M 1%,R43,R_0402_1005Metric,C26083,1
1nF 50V,"C25,C26,C27,C28,C29,C30,C31,C32",C_0402_1005Metric,C14442,8
1uF 50V,"C53,C54",C_0402_1005Metric,C1518208,2
2.2K 1%,"R17,R18",R_0402_1005Metric,C25879,2
2.2nF 50V,C55,C_0402_1005Metric,C106861,1
2.4K 1%,R59,R_0402_1005Metric,C25882,1
25MHz 12pF,X2,X3225,C9006,1
27R 1%,R7,R_0402_1005Metric,C138021,1
3.3R 1%,"R39,R41,R44,R46",R_0402_1005Metric,C270612,4
3.3uH 2.8A,L1,0805,C42411119,1
33R 1%,"R2,R3,R4",R_0402_1005Metric,C25105,3
4.7K 1%,"R1,R35,R8",R_0402_1005Metric,C25900,3
4.7uF 10V,"C20,C22,C24",C_0402_1005Metric,C368809,3
4.7uF 25V,"C16,C39,C49,C50,C6",C_0402_1005Metric,C22367824,5
470R 1%,"R36,R45,R47",R_0402_1005Metric,C25117,3
49.9R 1%,"R37,R38,R48,R49",R_0402_1005Metric,C25120,4
5.1K 1%,"R52,R55",R_0402_1005Metric,C25905,2
6.8nF 50V,"C33,C34",C_0402_1005Metric,C1542,2
7.5K 1%,R54,R_0402_1005Metric,C25918,1
AT24C256C-XHL-T,IC2,TSSOP-8,C33035,1
B3U-1000P,"BOOT,RST",SW_B3U-1000P,C231329,2
Blue,D3,LED_0402_1005Metric,C22355736,1
Green,"PWR,USB",LED_0402_1005Metric,C965793,2
LM4040B30FTA,IC5,SOT-23,C460604,1
MCP6001RT,IC4,SOT-23-5,C154973,1
RCLAMP0582BQTCT,D1,SOT-416,C841193,1
RP2354B,IC1,QFN80_10x10,C39843328,1
SN74LVC1G97QDCKRQ1,IC8,SOT-363_SC-70-6,C179911,1
SP0503BAHTG,D5,SOT143,C3040626,1
TPS74801DRCT,IC7,VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm_ThermalVias,C882845,1
W25Q128JVPIQ,IC3,WSON8_6x5,C190862,1
W5500,IC6,LQFP48_7x7,C32843,1
