Comment,Designator,Footprint,LCSC,Quantity
0.010R 1%,"R27,R9",R_2512_6332Metric,C127692,2
0R 1%,"R10,R11,R2",R_0402_1005Metric,C17168,3
100nF 50V,"C1,C10,C11,C18,C22,C24,C25,C30,C32,C41",C_0402_1005Metric,C307331,10
100pF 50V,C8,C_0402_1005Metric,C281751,1
100uF 50V,C5,C_Elec_6.3x7.7,C3151829,1
10K 1%,"R13,R14,R15,R16,R17,R18,R19,R30,R31,R34,R35,R36,R37,R40,R48,R50,R51,R53",R_0402_1005Metric,C25744,18
10R 1%,"R28,R29",R_0402_1005Metric,C25077,2
10nF 50V,"C7,C9",C_0402_1005Metric,C60133,2
10uF 50V,"C2,C29,C3",C_1206_3216Metric,C13585,3
12.7K 1%,R21,R_0402_1005Metric,C25853,1
150K 1%,R5,R_0402_1005Metric,C2909320,1
15K 1%,R4,R_0402_1005Metric,C25756,1
1K 1%,"R38,R39,R41,R46,R49",R_0402_1005Metric,C11702,5
1M 1%,R26,R_1206_3216Metric,C17927,1
1R 1%,"R6,R7",R_0402_1005Metric,C185446,2
1nF 2kV,C23,C_1206_3216Metric,C173242,1
1uF 50V,"C21,C26,C27",C_0402_1005Metric,C1518208,3
1uF 50V,C4,C_1206_3216Metric,C90539,1
2.2nF 50V,"C12,C28,C40",C_0402_1005Metric,C106861,3
2.2uF 50V,"C19,C20",C_0603_1608Metric,C913904,2
2.4K 1%,R42,R_0402_1005Metric,C25882,1
200K 1%,R20,R_0402_1005Metric,C25764,1
22uF 35V,"C13,C14,C15,C16,C17,C39",C_0805_2012Metric,C6119901,6
25.5K 1%,R3,R_0402_1005Metric,C26970,1
30.9K 1%,R25,R_0402_1005Metric,C270615,1
4.64K 1%,"R22,R23",R_0402_1005Metric,C5153956,2
4.7uF 50V,C6,C_0805_2012Metric,C98192,1
4.7uH 11A,L1,L_11.5x10.0mm,C5359261,1
49.9K 1%,R1,R_0402_1005Metric,C2906873,1
7.5K 1%,R43,R_0402_1005Metric,C25918,1
8.87K 1%,R24,R_0402_1005Metric,C48391747,1
90.9K 1%,"R12,R52",R_0402_1005Metric,C163452,2
BLM21BD121SN1D,L3,R_0805_2012Metric,C1235333,1
BSZ065N06,"T1,T2",TSDSON-8,C6755420,2
Blue,"D2,D4",LED_0402_1005Metric,C22355736,2
DMP3013SFV,"T3,T4,T5",Diodes_PowerDI3333-8,C264098,3
Green,"D1,D5",LED_0402_1005Metric,C965793,2
INA219BIDCNT,IC3,SOT-23-8,C2653868,1
MCP22350T-2I/Q8X,IC2,QFN-28-1EP_4x4mm_P0.4mm_EP2.6x2.6mm_ThermalVias,C38202699,1
Red,D3,LED_0402_1005Metric,C25503345,1
SN74LVC1G97QDCKRQ1,"IC4,IC5,IC7",SOT-363_SC-70-6,C179911,3
TPS552882QRPMRQ1,IC1,PowerVFQFN-26,C2876594,1
TPS74801DRCT,IC6,VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm_ThermalVias,C882845,1
USB_C_Receptacle_PowerOnly_6P,J1,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,C2927029,1
