Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF 50V,C_0402_1005Metric,18.109212,49.270788,0.0,bottom
C10,100nF 50V,C_0402_1005Metric,16.879212,47.870788,90.0,bottom
C11,10pF 50V,C_0402_1005Metric,12.474212,63.020788,90.0,top
C12,10pF 50V,C_0402_1005Metric,17.674212,63.020788,-90.0,top
C13,100nF 50V,C_0402_1005Metric,18.254212,51.270788,0.0,bottom
C14,100nF 50V,C_0402_1005Metric,14.079212,54.990788,270.0,bottom
C15,100nF 50V,C_0402_1005Metric,11.174212,50.995788,180.0,bottom
C16,4.7uF 25V,C_0402_1005Metric,12.754212,47.945788,90.0,bottom
C17,100nF 50V,C_0402_1005Metric,11.4,68.5,90.0,top
C18,100nF 50V,C_0402_1005Metric,14.6,31.82,-90.0,top
C19,100nF 50V,C_0402_1005Metric,5.725,41.625,90.0,top
C2,100nF 50V,C_0402_1005Metric,18.254212,53.245788,0.0,bottom
C20,4.7uF 10V,C_0402_1005Metric,4.2,42.15,0.0,top
C21,100nF 50V,C_0402_1005Metric,15.325,73.2,90.0,top
C22,4.7uF 10V,C_0402_1005Metric,7.15,37.505,90.0,top
C23,100nF 50V,C_0402_1005Metric,7.15,39.43,-90.0,top
C24,4.7uF 10V,C_0402_1005Metric,8.2,39.425,-90.0,top
C25,1nF 50V,C_0402_1005Metric,4.949212,50.720788,0.0,bottom
C26,1nF 50V,C_0402_1005Metric,4.949212,49.745788,0.0,bottom
C27,1nF 50V,C_0402_1005Metric,4.929212,48.770788,0.0,bottom
C28,1nF 50V,C_0402_1005Metric,4.924212,47.770788,0.0,bottom
C29,1nF 50V,C_0402_1005Metric,4.924212,46.770788,0.0,bottom
C3,100nF 50V,C_0402_1005Metric,17.304212,54.965788,270.0,bottom
C30,1nF 50V,C_0402_1005Metric,4.929212,45.795788,0.0,bottom
C31,1nF 50V,C_0402_1005Metric,4.924212,44.820788,0.0,bottom
C32,1nF 50V,C_0402_1005Metric,4.924212,43.845788,0.0,bottom
C33,6.8nF 50V,C_0402_1005Metric,12.96,13.45,-90.0,top
C34,6.8nF 50V,C_0402_1005Metric,13.97,13.45,-90.0,top
C35,15pF 50V,C_0402_1005Metric,10.35,31.05,180.0,top
C36,15pF 50V,C_0402_1005Metric,10.375,36.225,0.0,top
C37,100nF 50V,C_0402_1005Metric,15.19,15.4,270.0,bottom
C38,100nF 50V,C_0402_1005Metric,20.71,25.6,0.0,top
C39,4.7uF 25V,C_0402_1005Metric,20.71,23.6,0.0,top
C4,100nF 50V,C_0402_1005Metric,15.304212,54.990788,270.0,bottom
C40,100nF 50V,C_0402_1005Metric,7.5,23.1,180.0,top
C41,100nF 50V,C_0402_1005Metric,7.5,22.1,180.0,top
C42,100nF 50V,C_0402_1005Metric,15.25,29.85,90.0,top
C43,100nF 50V,C_0402_1005Metric,15.0,21.35,180.0,bottom
C44,100nF 50V,C_0402_1005Metric,20.71,24.6,0.0,top
C45,100nF 50V,C_0402_1005Metric,20.73,22.35,0.0,top
C46,100nF 50V,C_0402_1005Metric,20.73,21.35,0.0,top
C47,100nF 50V,C_0402_1005Metric,16.5,16.87,-90.0,top
C48,100nF 50V,C_0402_1005Metric,12.5,21.35,0.0,bottom
C49,4.7uF 25V,C_0402_1005Metric,2.285,6.0,180.0,top
C5,100nF 50V,C_0402_1005Metric,11.179212,55.245788,180.0,bottom
C50,4.7uF 25V,C_0402_1005Metric,2.28,7.0,180.0,top
C51,100nF 50V,C_0402_1005Metric,2.255,10.1,0.0,top
C52,100nF 50V,C_0402_1005Metric,4.05,65.91,-90.0,top
C53,1uF 50V,C_0402_1005Metric,5.075,65.885,-90.0,top
C54,1uF 50V,C_0402_1005Metric,7.5,65.865,-90.0,top
C55,2.2nF 50V,C_0402_1005Metric,8.0,71.81,0.0,top
C56,10uF 50V,C_1206_3216Metric,3.35,71.06,-90.0,top
C57,100nF 50V,C_0402_1005Metric,24.345,63.275,180.0,top
C58,100nF 50V,C_0402_1005Metric,5.4,75.055,-90.0,top
C59,1nF 2kV,C_1206_3216Metric,16.95,74.8,270.0,bottom
