Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF 25V,CP_EIA-7343-30_AVX-N,26.75,24.8,180.0,top
C10,100uF 25V,CP_EIA-7343-30_AVX-N,26.7375,12.205,0.0,top
C11,100nF 50V,C_0402_1005Metric,9.874603,7.809335,90.0,top
C14,470pF 50V,C_0402_1005Metric,35.291864,22.644777,90.0,top
C15,100nF 50V,C_0402_1005Metric,31.725,17.35,90.0,top
C18,100nF 50V,C_0402_1005Metric,20.67,16.6,180.0,top
C2,4.7uF 50V,C_0805_2012Metric,30.125,20.055,-90.0,top
C23,1nF 2kV,C_1206_3216Metric,7.25,22.75,180.0,top
C24,10uF 50V,C_0805_2012Metric,30.1375,16.555,90.0,top
C25,100nF 50V,C_0402_1005Metric,6.5,26.4425,-90.0,top
C26,1uF 50V,C_0402_1005Metric,20.93,29.0,0.0,top
C29,10uF 50V,C_1206_3216Metric,19.33,24.2,180.0,top
C3,4.7uF 50V,C_0805_2012Metric,28.029784,20.057326,-90.0,top
C31,100nF 50V,C_0402_1005Metric,23.35,21.3,270.0,bottom
C32,100nF 50V,C_0402_1005Metric,17.63,29.0,180.0,top
C34,1nF 50V,C_0402_1005Metric,12.25,15.55,-90.0,top
C35,1nF 50V,C_0402_1005Metric,12.25,17.85,90.0,top
C36,390pF 50V,C_0402_1005Metric,10.65,14.7,0.0,top
C37,390pF 50V,C_0402_1005Metric,10.685,18.75,0.0,top
C4,100nF 50V,C_0402_1005Metric,31.725,19.255,-90.0,top
C40,10uF 50V,C_0805_2012Metric,28.0375,16.555,90.0,top
C41,100nF 50V,C_0402_1005Metric,23.395,19.64,-90.0,top
C43,1nF 50V,C_0402_1005Metric,37.845,23.125,180.0,top
C5,4.7uF 50V,C_0805_2012Metric,33.1,12.6,180.0,top
C6,4.7uF 50V,C_0805_2012Metric,33.1,12.6,0.0,bottom
C7,2.2uF 25V,C_0402_1005Metric,36.328704,22.644777,90.0,top
C8,220nF 50V,C_0402_1005Metric,39.75,20.540209,90.0,top
C9,220nF 50V,C_0402_1005Metric,39.725,16.2,-90.0,top
D1,Green,LED_0402_1005Metric,0.65,9.415,90.0,bottom
D2,Blue,LED_0402_1005Metric,0.65,22.8,270.0,bottom
D5,TPD4EUSB30DQAR,USON10_2.5x1,10.6675,16.7,0.0,top
IC1,MCP1702T-3302E/CB,SOT-23,19.33,27.4625,90.0,top
IC2,MPQ4242GVE-0001-AEC1-P,QFN-22_4X5mm,35.275,18.3405,0.0,top
IC3,INA219BIDCNT,SOT-23-8,20.65,18.9,180.0,top
IC5,SN74LVC1G97QDCKRQ1,SOT-363_SC-70-6,8.3,26.4425,90.0,top
IC6,STM809TWX6F,SOT-23,8.1875,6.225,0.0,top
J1,USB-TYPE-C-018,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,3.585,16.2,-90.0,top
L1,4.7uH 13A,7443551470,47.874995,18.55002,-90.0,top
L2,2.2uH 9.7A,5.5x5.3mm_XAL5030-222MEC,38.05,11.65,0.0,top
R1,1R 1%,R_0402_1005Metric,39.765,23.125,180.0,top
R17,2.2R 1%,R_0402_1005Metric,10.71,19.75,180.0,top
R18,2.2R 1%,R_0402_1005Metric,10.65,13.7,180.0,top
R2,0.010R 1%,R_2512_6332Metric,12.0,25.75,90.0,top
R20,100K 1%,R_0402_1005Metric,25.109898,21.292909,-90.0,top
R23,100K 1%,R_0402_1005Metric,26.15,21.29,-90.0,top
R24,0.005R 1% 2W,R_2512_6332Metric,14.625,11.0,180.0,top
R26,1M 1%,R_1206_3216Metric,7.0,9.5,180.0,top
R28,1R 1%,R_0402_1005Metric,18.45,14.8,0.0,top
R29,1R 1%,R_0402_1005Metric,18.46,15.8,0.0,top
R3,1R 1%,R_0402_1005Metric,15.5,26.25,180.0,bottom
R32,10K 1%,R_0402_1005Metric,17.395,19.24,0.0,top
R33,10K 1%,R_0402_1005Metric,17.39398,18.182258,0.0,top
R34,10K 1%,R_0402_1005Metric,17.406332,20.286501,180.0,top
R35,10K 1%,R_0402_1005Metric,17.387977,17.111882,180.0,top
R4,1R 1%,R_0402_1005Metric,15.5,25.3,180.0,bottom
R41,1K 1%,R_0402_1005Metric,8.3,28.8425,180.0,top
R45,2.4K 1%,R_0402_1005Metric,17.411548,21.3,0.0,top
R47,2.4K 1%,R_0402_1005Metric,17.421389,22.342319,0.0,top
R49,1K 1%,R_0402_1005Metric,2.25,10.5,180.0,bottom
R5,10K 1%,R_0402_1005Metric,7.85,3.8,180.0,top
R52,90.9K 1%,R_0402_1005Metric,11.05,7.8,-90.0,top
R53,10K 1%,R_0402_1005Metric,11.05,5.8,-90.0,top
R8,0R 1%,R_0402_1005Metric,38.55,20.525,90.0,top
R9,0R 1%,R_0402_1005Metric,38.55,16.225,-90.0,top
ST1,M3,WP-SMRA_7466313,2.25,25.75,90.0,top
ST2,M3,WP-SMRA_7466313,2.25,6.25,90.0,top
T1,DMN4008LFG-7,Diodes_PowerDI3333-8,42.385866,27.333857,180.0,top
