Comment,Designator,Footprint,LCSC,Quantity
0.005R 1% 2W,"R14,R24",R_2512_6332Metric,C108931,2
0R 1%,"R7,R8,R9",R_0402_1005Metric,C17168,3
100K 1%,"R19,R2,R20,R21,R23",R_0402_1005Metric,C25741,5
100R 1%,R22,R_1206_3216Metric,C17901,1
100nF 50V,"C10,C11,C18,C22,C25,C30,C32,C4,C41,C5",C_0402_1005Metric,C307331,10
100pF 50V,C13,C_0402_1005Metric,C281751,1
100uF 50V,"C1,C19",C_Elec_6.3x7.7,C3151829,2
10K 1%,"R11,R27,R34,R35,R37,R53,R6",R_0402_1005Metric,C25744,7
10nF 50V,C20,C_0805_2012Metric,C1710,1
10uF 50V,C29,C_1206_3216Metric,C13585,1
10uF 50V,"C12,C2,C3",C_0805_2012Metric,C440198,3
1K 1%,"R41,R46,R49",R_0402_1005Metric,C11702,3
1M 1%,R26,R_1206_3216Metric,C17927,1
1R 1%,"R15,R16,R28,R29",R_0402_1005Metric,C185446,4
1nF 2kV,C23,C_1206_3216Metric,C173242,1
1nF 50V,"C34,C35",C_0402_1005Metric,C14442,2
1uF 50V,"C16,C26,C27,C6,C7",C_0402_1005Metric,C1518208,5
2.2K 1%,"R4,R5",R_0402_1005Metric,C25879,2
2.2R 1%,"R17,R18",R_0402_1005Metric,C25101,2
2.2nF 50V,C28,C_0402_1005Metric,C106861,1
2.2uH 9.7A,L2,5.5x5.3mm_XAL5030-222MEC,C920280,1
2.4K 1%,R42,R_0402_1005Metric,C25882,1
220nF 50V,"C8,C9",C_0402_1005Metric,C5159775,2
22R 1%,R12,R_0402_1005Metric,C25092,1
390pF 50V,"C36,C37",C_0402_1005Metric,C107050,2
4.7uF 25V,"C14,C15",C_0603_1608Metric,C69335,2
4.7uF 50V,"C21,C38,C39",C_1206_3216Metric,C51205,3
4.7uF 50V,C17,C_0805_2012Metric,C98192,1
4.7uH 13A,L1,7443551470,C1331156,1
470nF 50V,C33,C_0402_1005Metric,C437527,1
51K 1%,R13,R_0402_1005Metric,C25794,1
7.5K 1%,R43,R_0402_1005Metric,C25918,1
90.9K 1%,"R10,R25,R52",R_0402_1005Metric,C163452,3
Blue,"D2,D4",LED_0402_1005Metric,C22355736,2
DMN4008LFG-7,"T1,T2,T3",Diodes_PowerDI3333-8,C6601822,3
Green,D1,LED_0402_1005Metric,C965793,1
INA219BIDCNT,IC3,SOT-23-8,C2653868,1
MPQ4232GVE-0000-AEC1-P,IC1,QFN-19_4X5mm_MPQ4232,C44772388,1
MPQ5031GRE-0001-AEC1-Z,IC2,QFN-20-1EP_4x4mm_P0.5mm_EP2x2mm_ThermalVias,C7232102,1
SN74LVC1G97QDCKRQ1,"IC5,IC7",SOT-363_SC-70-6,C179911,2
TPD4EUSB30DQAR,D5,USON10_2.5x1,C5199222,1
TPS74801DRCT,IC6,VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm_ThermalVias,C882845,1
USB-TYPE-C-018,J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,C2927038,1
