Comment,Designator,Footprint,LCSC,Quantity
0.02R 1%,"R58,R59,R66,R67",R_1206_3216Metric,C844895,4
0ATO030.VP,F1,178.6165.0001-Littelfuse,C207060,1
100R 1%,"R42,R43,R46,R47",R_Array_Convex_4x0603,C136838,4
100R 1%,"R75,R79,R80,R81,R84,R87,R88,R89",R_0402_1005Metric,C25076,8
100nF 50V,"C14,C15,C16,C17,C19,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C39,C40,C44,C45,C48,C50,C53,C55,C56,C58,C60,C62,C63,C64,C65,C68,C7,C8",C_0402_1005Metric,C307331,36
100uF 25V,"C37,C41,C46,C51",C_Elec_6.3x7.7,C72477,4
10K 1%,"R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R2,R48,R49,R50,R51,R52,R53,R54,R55,R7",R_0402_1005Metric,C25744,20
10nF 50V,"C54,C57,C59,C61",C_0402_1005Metric,C60133,4
10uF 50V,"C2,C3,C38,C4,C43,C47,C5,C52,C6",C_0805_2012Metric,C440198,9
15.4K 1%,R5,R_0402_1005Metric,C22369478,1
1724470208,J22,MOLEX_1724470208,C17445611,1
1K 1%,"R24,R74,R77,R82,R83,R90,R91,R92,R93",R_0402_1005Metric,C11702,9
1M 1%,"R1,R23,R62,R70",R_1206_3216Metric,C17927,4
1nF 2kV,"C1,C23,C42,C49",C_1206_3216Metric,C173242,4
1nF 50V,"C12,C13",C_0402_1005Metric,C14442,2
2.2K 5%,"R25,R26,R27,R28",R_Array_Convex_4x0603,C12001,4
2.2R 1%,"R3,R4",R_0402_1005Metric,C25101,2
2.2uH 9.5A,L1,7x6.6mm,C167218,1
3.3uH 13A,L2,7x6.6mm,C41413136,1
33.2K 1%,"R60,R64,R69,R73",R_0402_1005Metric,C324836,4
330uF 50V,C67,CP_Elec_10x10.5,C178596,1
330uF 6.3V,"C10,C11",2917,C134173,2
33R 1%,"R44,R45,R76,R78,R85,R86",R_0402_1005Metric,C25105,6
4.7K 1%,"R56,R57,R61,R63,R65,R68,R71,R72",R_0402_1005Metric,C25900,8
4.7uF 25V,"C18,C20,C21",C_0402_1005Metric,C22367824,3
470uF 4V,C9,2917,C542275,1
47K 1%,R9,R_0402_1005Metric,C25792,1
5.1K 1%,"R21,R22,R30",R_0402_1005Metric,C25905,3
51K 1%,"R29,R8",R_0402_1005Metric,C25794,2
6.57K 0.1%,R6,R_0402_1005Metric,C852899,1
AF SS-JB17.6,"J12,J13",USB_A_Horizontal_Stacked,C456021,2
AP22653W6-7,"IC17,IC18,IC19,IC20",SOT-23-6,C2158037,4
BAT54S,"D1,D2",SOT23-3,C7420333,2
Blue,D5,LED_0402_1005Metric,C22355736,1
CD74HC4067QRGYRQ1,IC2,Texas_RGY_R-PVQFN-N24_EP2.05x3.1mm_ThermalVias,C48731605,1
FDMC7672,"T3,T4",DFN8_3x3,C890946,2
FDMC7692,"T1,T2",DFN8_3x3,C241798,2
HR911105A,J1,100BASE_MAGJACK,C12074,1
M2.5,ST1,Round Standoff Threaded M2.5 Steel,C7435234,1
MCP23017T-E/ML,"IC14,IC15,IC16,IC27,IC9",QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm_ThermalVias,C629439,5
PAC1720-1-AIA-TR,"IC22,IC24",DFN-10-1EP_3x3mm_P0.5mm_EP1.58x2.35mm_ThermalVias,C622574,2
Red-Green,"D6,D7,D8,D9",LED_0605-1613,C965839,4
SN74LVC1G97QDCKRQ1,"IC10,IC11,IC12,IC13,IC21,IC23,IC25,IC26,IC5,IC6,IC7,IC8",SOT-363_SC-70-6,C179911,12
SP0503BAHTG,D4,SOT143,C3040626,1
TCA9548ARGER,IC4,Texas_RGE0024C_VQFN-24-1EP_4x4mm_P0.5mm_EP2.1x2.1mm,C555456,1
TPD4EUSB30DQAR,D3,USON10_2.5x1,C5199222,1
TPS51225CRUKR,IC1,QFN20-3x3,C131684,1
USB-TYPE-C-018,J3,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,C2927038,1
