Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT,B3U-1000P,SW_B3U-1000P,27.95,11.25,-90.0,top
C1,100nF 50V,C_0402_1005Metric,18.859212,49.420788,0.0,bottom
C10,100nF 50V,C_0402_1005Metric,17.629212,48.020788,90.0,bottom
C11,10pF 50V,C_0402_1005Metric,13.224212,63.170788,90.0,top
C12,10pF 50V,C_0402_1005Metric,18.424212,63.170788,-90.0,top
C13,100nF 50V,C_0402_1005Metric,19.004212,51.420788,0.0,bottom
C14,100nF 50V,C_0402_1005Metric,14.829212,55.140788,270.0,bottom
C15,100nF 50V,C_0402_1005Metric,11.924212,51.145788,180.0,bottom
C16,4.7uF 25V,C_0402_1005Metric,13.504212,48.095788,90.0,bottom
C17,100nF 50V,C_0402_1005Metric,19.26,67.8,180.0,top
C18,100nF 50V,C_0402_1005Metric,15.35,31.97,-90.0,top
C19,100nF 50V,C_0402_1005Metric,6.475,41.775,90.0,top
C2,100nF 50V,C_0402_1005Metric,19.004212,53.395788,0.0,bottom
C20,4.7uF 10V,C_0402_1005Metric,4.95,42.3,0.0,top
C21,100nF 50V,C_0402_1005Metric,18.35,73.695,90.0,top
C22,4.7uF 10V,C_0402_1005Metric,7.9,37.655,90.0,top
C23,100nF 50V,C_0402_1005Metric,7.9,39.58,-90.0,top
C24,4.7uF 10V,C_0402_1005Metric,8.95,39.575,-90.0,top
C25,1nF 50V,C_0402_1005Metric,5.699212,50.870788,0.0,bottom
C26,1nF 50V,C_0402_1005Metric,5.699212,49.895788,0.0,bottom
C27,1nF 50V,C_0402_1005Metric,5.679212,48.920788,0.0,bottom
C28,1nF 50V,C_0402_1005Metric,5.674212,47.920788,0.0,bottom
C29,1nF 50V,C_0402_1005Metric,5.674212,46.920788,0.0,bottom
C3,100nF 50V,C_0402_1005Metric,18.054212,55.115788,270.0,bottom
C30,1nF 50V,C_0402_1005Metric,5.679212,45.945788,0.0,bottom
