Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF 50V,C_0402_1005Metric,32.705,29.665,-90.0,top
C10,100nF 50V,C_0402_1005Metric,25.27,22.82,-90.0,top
C11,100nF 50V,C_0402_1005Metric,32.51,26.545,-90.0,top
C12,2.2nF 50V,C_0402_1005Metric,39.84,21.4,0.0,top
C13,22uF 35V,C_0805_2012Metric,24.745,29.425,90.0,top
C14,22uF 35V,C_0805_2012Metric,22.67,29.425,90.0,top
C15,22uF 35V,C_0805_2012Metric,22.68,25.87,-90.0,top
C16,22uF 35V,C_0805_2012Metric,24.78,25.87,-90.0,top
C17,22uF 35V,C_0805_2012Metric,8.25,24.955,90.0,top
C18,100nF 50V,C_0402_1005Metric,9.4,29.825,180.0,top
C19,2.2uF 50V,C_0603_1608Metric,14.32,15.505,90.0,bottom
C2,10uF 50V,C_1206_3216Metric,49.34,17.95,-90.0,top
C20,2.2uF 50V,C_0603_1608Metric,15.91,15.515,90.0,bottom
C21,1uF 50V,C_0402_1005Metric,14.95,12.525,-90.0,top
C22,100nF 50V,C_0402_1005Metric,16.58,12.655,-90.0,top
C23,1nF 2kV,C_1206_3216Metric,4.5,28.705,180.0,top
C24,100nF 50V,C_0402_1005Metric,37.7875,9.65,180.0,top
C25,100nF 50V,C_0402_1005Metric,42.4075,9.65,180.0,top
C26,1uF 50V,C_0402_1005Metric,29.1,15.775,0.0,top
C27,1uF 50V,C_0402_1005Metric,29.1,17.35,0.0,top
C28,2.2nF 50V,C_0402_1005Metric,23.1,17.65,90.0,top
C29,10uF 50V,C_1206_3216Metric,25.675,13.075,0.0,top
C3,10uF 50V,C_1206_3216Metric,51.84,17.95,-90.0,top
C30,100nF 50V,C_0402_1005Metric,10.25,15.825,90.0,top
C31,100nF 50V,C_0402_1005Metric,32.845,15.375,180.0,bottom
C32,100nF 50V,C_0402_1005Metric,29.095,14.75,0.0,top
C39,22uF 35V,C_0805_2012Metric,8.25,19.155,-90.0,top
C4,1uF 50V,C_1206_3216Metric,32.57,33.35,0.0,top
C40,2.2nF 50V,C_0402_1005Metric,42.91,21.37,180.0,top
C41,100nF 50V,C_0402_1005Metric,10.85,34.675,0.0,top
C5,100uF 50V,C_Elec_6.3x7.7,42.99,16.61,180.0,top
C6,4.7uF 50V,C_0805_2012Metric,33.305,21.89,-90.0,top
C7,10nF 50V,C_0402_1005Metric,27.535,33.12,90.0,top
C8,100pF 50V,C_0402_1005Metric,31.6675,22.665,-90.0,top
C9,10nF 50V,C_0402_1005Metric,30.6175,20.69,-90.0,top
D1,Green,LED_0402_1005Metric,42.675,34.16,-90.0,top
D2,Blue,LED_0402_1005Metric,44.9,34.1675,-90.0,top
D3,Red,LED_0402_1005Metric,40.625,34.16,90.0,top
D4,Blue,LED_0402_1005Metric,1.125,15.2675,90.0,top
D5,Green,LED_0402_1005Metric,1.1,28.875,-90.0,top
IC1,TPS552882QRPMRQ1,PowerVFQFN-26,29.4925,28.115,-90.0,top
IC2,MCP22350T-2I/Q8X,QFN-28-1EP_4x4mm_P0.4mm_EP2.6x2.6mm_ThermalVias,16.45,16.65,0.0,top
IC3,INA219BIDCNT,SOT-23-8,9.225,32.375,180.0,top
IC4,SN74LVC1G97QDCKRQ1,SOT-363_SC-70-6,37.6875,11.45,180.0,top
IC5,SN74LVC1G97QDCKRQ1,SOT-363_SC-70-6,42.3875,11.45,180.0,top
IC6,TPS74801DRCT,VSON-10-1EP_3x3mm_P0.5mm_EP1.65x2.4mm_ThermalVias,25.825,16.525,180.0,top
IC7,SN74LVC1G97QDCKRQ1,SOT-363_SC-70-6,7.8875,15.175,0.0,top
J1,USB_C_Receptacle_PowerOnly_6P,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,3.6,22.025,-90.0,top
L1,4.7uH 11A,L_11.5x10.0mm,41.41,27.52,180.0,top
L3,BLM21BD121SN1D,R_0805_2012Metric,11.9875,13.825,0.0,top
R1,49.9K 1%,R_0402_1005Metric,26.485,33.145,90.0,top
R10,0R 1%,R_0402_1005Metric,23.77,22.32,0.0,top
R11,0R 1%,R_0402_1005Metric,23.77,23.33,0.0,top
R12,90.9K 1%,R_0402_1005Metric,13.99,20.025,180.0,top
R13,10K 1%,R_0402_1005Metric,12.04,20.025,180.0,top
R14,10K 1%,R_0402_1005Metric,20.0,19.95,180.0,top
R15,10K 1%,R_0402_1005Metric,20.01,18.725,180.0,top
R16,10K 1%,R_0402_1005Metric,12.8,15.425,0.0,top
R17,10K 1%,R_0402_1005Metric,25.075,20.6,0.0,top
R18,10K 1%,R_0402_1005Metric,13.775,34.5,0.0,top
R19,10K 1%,R_0402_1005Metric,16.125,34.525,0.0,top
R2,0R 1%,R_0402_1005Metric,27.5425,22.65,-90.0,top
R20,200K 1%,R_0402_1005Metric,15.97,22.285,-90.0,top
R21,12.7K 1%,R_0402_1005Metric,17.01,22.285,90.0,top
R22,4.64K 1%,R_0402_1005Metric,18.06,22.285,-90.0,top
R23,4.64K 1%,R_0402_1005Metric,19.1,22.275,90.0,top
R24,8.87K 1%,R_0402_1005Metric,20.16,22.285,-90.0,top
R25,30.9K 1%,R_0402_1005Metric,21.21,22.285,90.0,top
R26,1M 1%,R_1206_3216Metric,4.5,28.7,0.0,bottom
R27,0.010R 1%,R_2512_6332Metric,13.25,25.075,-90.0,top
R28,10R 1%,R_0402_1005Metric,8.91,28.325,90.0,top
R29,10R 1%,R_0402_1005Metric,9.96,28.325,90.0,top
R3,25.5K 1%,R_0402_1005Metric,29.6175,22.64,-90.0,top
R30,10K 1%,R_0402_1005Metric,20.665,34.525,180.0,top
R31,10K 1%,R_0402_1005Metric,18.65,34.525,0.0,top
R32,10K 1%,R_0402_1005Metric,8.29,32.235,0.0,bottom
R33,10K 1%,R_0402_1005Metric,8.29,31.185,0.0,bottom
R34,10K 1%,R_0402_1005Metric,6.35,32.225,0.0,bottom
R35,10K 1%,R_0402_1005Metric,6.35,31.185,0.0,bottom
R36,10K 1%,R_0402_1005Metric,28.56,33.11,-90.0,top
R37,10K 1%,R_0402_1005Metric,21.6,13.475,180.0,top
R38,1K 1%,R_0402_1005Metric,45.32,11.325,180.0,top
R39,1K 1%,R_0402_1005Metric,45.32,10.275,180.0,top
R4,15K 1%,R_0402_1005Metric,30.6425,22.64,-90.0,top
R40,10K 1%,R_0402_1005Metric,29.61,33.11,-90.0,top
R41,1K 1%,R_0402_1005Metric,45.31,9.225,180.0,top
R42,2.4K 1%,R_0402_1005Metric,22.075,17.65,90.0,top
R43,7.5K 1%,R_0402_1005Metric,23.075,15.7,90.0,top
R45,2.4K 1%,R_0402_1005Metric,20.025,11.6,-90.0,top
R46,1K 1%,R_0402_1005Metric,5.5,15.16,90.0,top
R47,2.4K 1%,R_0402_1005Metric,21.05,11.6,-90.0,top
R48,10K 1%,R_0402_1005Metric,27.04,20.6,0.0,top
R49,1K 1%,R_0402_1005Metric,11.25,12.175,0.0,top
R5,150K 1%,R_0402_1005Metric,28.5675,22.64,-90.0,top
R50,10K 1%,R_0402_1005Metric,25.065,19.575,0.0,top
R51,10K 1%,R_0402_1005Metric,27.04,19.575,0.0,top
R6,1R 1%,R_0402_1005Metric,36.6,34.62,180.0,top
R7,1R 1%,R_0402_1005Metric,36.6,33.5,180.0,top
R9,0.010R 1%,R_2512_6332Metric,20.8,27.65,0.0,bottom
T1,BSZ065N06,TSDSON-8,51.23,22.96,-90.0,top
T2,BSZ065N06,TSDSON-8,51.23,27.46,-90.0,top
T3,DMP3013SFV,Diodes_PowerDI3333-8,18.045,31.375,90.0,top
T4,DMP3013SFV,Diodes_PowerDI3333-8,14.125,31.375,90.0,top
T5,DMP3013SFV,Diodes_PowerDI3333-8,17.55,26.225,90.0,top
