Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF 50V,C_Elec_6.3x7.7,28.5,31.55,180.0,top
C10,100nF 50V,C_0402_1005Metric,32.1,16.55,-90.0,top
C11,100nF 50V,C_0402_1005Metric,28.6,22.6,90.0,top
C12,10uF 50V,C_0805_2012Metric,30.6,15.8,-90.0,top
C13,100pF 50V,C_0402_1005Metric,35.35,16.9,-90.0,top
C14,4.7uF 25V,C_0603_1608Metric,45.675,31.95,0.0,top
C15,4.7uF 25V,C_0603_1608Metric,39.5,27.5,-90.0,top
C16,1uF 50V,C_0402_1005Metric,33.85,18.05,0.0,top
C17,4.7uF 50V,C_0805_2012Metric,26.45,15.8,-90.0,top
C18,100nF 50V,C_0402_1005Metric,8.41,29.5,0.0,top
C19,100uF 50V,C_Elec_6.3x7.7,23.9,24.3,90.0,top
C2,10uF 50V,C_0805_2012Metric,29.35,24.65,180.0,top
C20,10nF 50V,C_0805_2012Metric,28.55,15.8,-90.0,top
C21,4.7uF 50V,C_1206_3216Metric,14.1,10.98,0.0,top
C22,100nF 50V,C_0402_1005Metric,10.9,11.78,-90.0,top
C23,1nF 2kV,C_1206_3216Metric,4.5,28.705,180.0,top
C25,100nF 50V,C_0402_1005Metric,48.825,20.8125,90.0,bottom
C26,1uF 50V,C_0402_1005Metric,38.075,12.125,180.0,top
C27,1uF 50V,C_0402_1005Metric,38.075,9.8,180.0,top
C28,2.2nF 50V,C_0402_1005Metric,44.075,9.925,-90.0,top
C29,10uF 50V,C_1206_3216Metric,41.5,14.5,180.0,top
C3,10uF 50V,C_0805_2012Metric,29.35,26.8,180.0,top
C30,100nF 50V,C_0402_1005Metric,48.825,23.8925,90.0,bottom
C31,100nF 50V,C_0402_1005Metric,7.6,10.4,90.0,bottom
C32,100nF 50V,C_0402_1005Metric,38.1,13.6,180.0,top
C33,470nF 50V,C_0402_1005Metric,9.9,11.78,-90.0,top
C34,1nF 50V,C_0402_1005Metric,9.28,21.53,180.0,bottom
C35,1nF 50V,C_0402_1005Metric,9.28,23.5,180.0,bottom
C36,390pF 50V,C_0402_1005Metric,14.25,18.15,270.0,bottom
C37,390pF 50V,C_0402_1005Metric,13.25,18.13,270.0,bottom
C38,4.7uF 50V,C_1206_3216Metric,15.95,34.15,180.0,top
C39,4.7uF 50V,C_1206_3216Metric,20.695646,34.141299,0.0,top
C4,100nF 50V,C_0402_1005Metric,32.35,25.25,0.0,top
C41,100nF 50V,C_0402_1005Metric,10.17,31.05,0.0,bottom
