Comment,Designator,Footprint,LCSC Part #
,USB9,USB-C,
0.010R,R57 R63 R80 R87 R104 R110 R127 R133 R150 R156 R173 R179 R196 R202 R262 R272,2512,C105142
1K,R12 R14 R15 R17 R18 R20 R21 R23,0402,C11702
1K,R64 R65 R88 R89 R111 R112 R134 R135 R157 R158 R180 R181 R203 R204 R210 R211 R273 R274,R0201,C100125
1M,R235,R0201,C102686
1M,R255,0402,C26083
1uF,C179,C0402,C52923
1uF,C213 C251,0201,C87143
1uF 10V,C6 C16 C56 C57 C75 C76 C98 C99 C117 C118 C136 C137 C155 C156 C174 C175,0201,C76935
1uF 50V,C39 C58 C77 C100 C119 C138 C157 C197,C0603,C15849
2.2K,R55 R78 R102 R125 R148 R171 R194 R260,R0201,C142018
2.2K 1%,R249,R0201,C142018
3.3R,R226 R227 R228 R229,R0201,C158547
4.2uH,L11,SRR5228A,
4.7K,R212,0402,C25900
4.7K,R214 R236,R0201,C138135
4.7nF,C1 C11 C40 C59 C78 C101 C120 C139 C158 C198 C232 C250,C0402,C1538
4.7uF,C41 C60 C79 C102 C121 C140 C159 C199 C218,C0402,C23733
4.7uH 744771004,L2 L3 L4 L5 L6 L7 L8 L9,WE-PD_1280,
4.9uH,L13 L15,SRR5228A,
4.64K 0.1%,R46 R47 R69 R70 R93 R94 R116 R117 R139 R140 R162 R163 R185 R186 R221 R222,R0201,C270725
4D03WGJ0332T5E,R207,742C083103JP,C12013
4D03WGJ0332T5E,R215 R216 R217,YC164-JR-0733RL,C12013
4D03WGJ0332T5E,R253,742C083103JP,C12013
5.1K,R250 R251,R0201,C100142
6.8nF,C215 C216,0201,C285015
6.19K,R58 R81 R105 R128 R151 R174 R197 R267,R0201,C158394
7.5K,R242 R256 R264,R0201,C158362
7.5K 1%,RFB8 RFB12,R0201,C158362
8.87K 0.1%,R48 R71 R95 R118 R141 R164 R187 R223,R0201,C332577
10K,R1 R2 R4 R7 R8 R10 R13 R16 R19 R22 R52 R53,0402,C25744
10K,R54,R0201,C100126
10K,R56,0402,C25744
10K,R66,R0201,C100126
10K,R75 R76,0402,C25744
10K,R77,R0201,C100126
10K,R79,0402,C25744
10K,R90,R0201,C100126
10K,R99 R100,0402,C25744
10K,R101,R0201,C100126
10K,R103,0402,C25744
10K,R113,R0201,C100126
10K,R122 R123,0402,C25744
10K,R124,R0201,C100126
10K,R126,0402,C25744
10K,R136,R0201,C100126
10K,R145 R146,0402,C25744
10K,R147,R0201,C100126
10K,R149,0402,C25744
10K,R159,R0201,C100126
10K,R168 R169,0402,C25744
10K,R170,R0201,C100126
10K,R172,0402,C25744
10K,R182,R0201,C100126
10K,R191 R192,0402,C25744
10K,R193,R0201,C100126
10K,R195,0402,C25744
10K,R208 R218,R0201,C100126
10K,R240 R247 R248 R252,0402,C25744
10K,R259,R0201,C100126
10K,R261,0402,C25744
10K,R275,R0201,C100126
10R,R243 R257 R265,R0201,C100126
10nF,C42 C43 C44 C61 C62 C63 C80 C81 C86 C103 C104 C105 C122 C123 C124 C141 C142 C143 C160 C161 C162 C200 C201 C202,0201,C285010
10uF,C3 C4 C8 C9 C13 C14 C83 C84,C0805,C15850
10uF,C247,0805,C15850
10uF 50V,C47 C48 C49 C50 C66 C67 C68 C69 C89 C90 C91 C92 C108 C109 C110 C111 C127 C128 C129 C130 C146 C147 C148 C149 C165 C166 C167 C168 C205 C206 C207 C208,C0805,C440198
12.4K 1%,R234,R0201,C423760
12.7K 0.1%,R11 R68 R92 R115 R138 R161 R184 R220,R0201,C423755
12.7K 1%,RFB4,R0201,C166367
12MHz,X1,WE-XTAL_CFPX-180,C9002
15pF,C177 C178,0201,C64554
18pF,C219 C220,0201,C85892
19.9K,R60 R62 R83 R86 R107 R109 R130 R132 R153 R155 R176 R178 R199 R201 R269 R271,R0201,C226463
20K 1%,R3 R6 R9 R84,0402,C25765
20K 1%,RT3 RT5,R0201,C226463
22nF,C230,C0402,C1532
22uF - 10V,C238 C239 C263 C264 C277 C278,C1206,C12891
22uF 25V,C237 C262 C276,C1206,C12891
22uF 50V,C51 C52 C53 C54 C70 C71 C72 C73 C93 C94 C95 C96 C112 C113 C114 C115 C131 C132 C133 C134 C150 C151 C152 C153 C169 C170 C171 C172 C209 C210 C211 C240,C0805,C45783
25MHz,X2,3.2X2.5_KX-7,
27R,R205 R206,R0201,C273268
30.9K 0.1%,R49 R72 R96 R119 R142 R165 R188 R224,R0201,C158612
33K,RT1,R0201,C100136
33pF,C236 C261 C275,0201,C277477
40.2K,RFB3 RFB7 RFB11,R0201,C166207
49.9K,R59 R82 R106 R129 R152 R175 R198 R268,R0201,C138136
49.9R,R230 R231 R232 R233,R0201,C100141
100K,R51 R73 R98 R120 R144 R166 R190 R244 R245 R258 R266,R0201,C100127
100nF,C2 C7 C12 C17 C18 C19 C20 C45 C46,C0402,C1581
100nF,C55,0201,C49062
100nF,C64 C65,C0402,C1581
100nF,C74,0201,C49062
100nF,C82 C87 C88,C0402,C1581
100nF,C97,0201,C49062
100nF,C106 C107,C0402,C1581
100nF,C116,0201,C49062
100nF,C125 C126,C0402,C1581
100nF,C135,0201,C49062
100nF,C144 C145,C0402,C1581
100nF,C154,0201,C49062
100nF,C163 C164,C0402,C1581
100nF,C173 C176 C180 C181 C182 C183 C184 C185 C186 C187 C188 C189 C190 C191 C192 C193 C194 C195,0201,C49062
100nF,C203 C204,C0402,C1581
100nF,C212 C214 C217 C221 C222 C223 C224 C225 C226 C227 C228 C229 C233 C234 C235 C241,0201,C49062
100nF,C248,0402,C1581
100nF,C249 C258 C259 C260 C272 C273 C274,0201,C49062
100uF 16V,C5 C10 C15 C85,100UF-16V,C37308
150K,R61 R85 R108 R131 R154 R177 R200 R270,R0201,C158794
200K,R5 R67 R91 R114 R137 R160 R183 R219,R0201,C138163
220uF 35V,C252 C253 C254 C255 C256 C257,CAPAE830X1050N,C970697
470R,R237 R238 R239,0402,C25117
499K,R241 R254 R263,R0201,C138138
4.30182E+11,BOOT RESET,4.30182E+11,
6.32722E+11,PORT1 PORT2 PORT3 PORT4 PORT5 PORT6 PORT7 PORT8,6.32722E+11,C283540
AFC11-S20ICC-00,DISP,FPC20,C11073
AP22653W6-7,IC1 IC2 IC3 IC8,SOT23-6,C2158037
BLM18EG221TN1D,L10,0603,C113025
C1206C102KGRACTM,C231,C1206,
CAT24C512HU5IGT3,IC29,SON50P300X200X50-9T130X140N,C153773
DMP3013SFV,T6 T7 T8 T11 T12 T13 T16 T17 T18 T21 T22 T23 T26 T27 T28 T31 T32 T33 T36 T37 T38 T41 T42 T43,POWERDI3333-8_UX_DIO-L,C264098
DNI,R50 R74 R97 R121 R143 R167 R189 R209 R246,R0201,
INA219BIDCNT,IC13 IC16 IC19 IC22 IC25 IC33 IC36 IC44,SOT23-8,C2653868
IPZ40N04S5L-7R4,T9 T14 T19 T24 T29 T34 T39 T44,POWERDI3333-8_UX_DIO-L,
IPZ40N04S5L2R8,T10 T15 T20 T25 T30 T35 T40 T45,POWERDI3333-8_UX_DIO-L,
LM4040BXX,REF1,SOT23,C9409
MCP6001R,IC28,SOT23-5,C154973
MCP23017-E/ML,IC42,QFN28[6X6]ML,C639770
MP2315S,IC40 IC43 IC45,SOT65P280X110-8N,C3031493
NC,R213,R0201,
RP2040,IC26,QFN40P700X700X100-57T510,C2040
SMBJ33A,D9 D10 D11,SMB,C19077586
SN74LVC1G04DBVR,IC4 IC5 IC6 IC7,SOT95P280X145-5N,C7827
SP0503BAHTG-ES,ESD1,SOT143,C19170916
STUSB4710AQ1TR,IC9 IC10 IC11 IC14 IC17 IC20 IC23 IC30,QFN50P300X300X55-16N,
TCA9548ARGER,IC38,QFN50P400X400X100-25T210N,C555456
TP,AVDD DVDD GND IOVDD VO3 VO5A VO5B VREF,TP,
TPB1 27,VUSBA1,B1 27,
TPB1 27,VUSBA2,B1 27,
TPB1 27,VUSBA3,B1 27,
TPB1 27,VUSBA4,B1 27,
TPS552882,IC12 IC15 IC18 IC21 IC24 IC32 IC35 IC41,RPM0026A-MFG,C2876594
W25Q128JVPIQ,IC27,SON127P600X500X75-8N,C190862
W5500,IC39,LQFP48,C32843
