Designator,Mid X,Mid Y,Layer,Rotation
AVDD,79.77,13.03,Top,180.0
BOOT,57.40,16.35,Top,90.0
C1,-78.08,94.66,Top,0.0
C2,-68.62,74.22,Top,180.0
C3,-67.96,76.18,Top,180.0
C4,-59.56,77.05,Top,90.0
C5,-63.99,79.93,Top,0.0
C6,144.84,82.90,Top,90.0
C7,-58.87,73.82,Top,180.0
C8,-51.07,84.04,Top,180.0
C9,-51.01,76.36,Top,0.0
C10,-54.95,79.97,Top,180.0
C11,-57.71,94.60,Top,0.0
C12,-46.92,74.72,Top,180.0
C13,-38.89,75.36,Top,0.0
C14,-47.43,76.34,Top,180.0
C15,-43.61,79.93,Top,0.0
C16,143.85,82.90,Top,90.0
C17,-81.66,74.22,Top,90.0
C18,-81.20,68.90,Top,0.0
C19,-38.82,66.13,Top,270.0
C20,-38.92,61.48,Top,270.0
C39,142.23,83.43,Top,90.0
C40,149.07,97.02,Top,90.0
C41,135.71,68.54,Top,180.0
C42,142.32,74.22,Top,90.0
C43,136.26,69.52,Top,180.0
C44,135.26,69.89,Top,270.0
C45,141.87,67.69,Top,180.0
C46,138.81,67.70,Top,180.0
C47,151.16,80.34,Top,0.0
C48,151.16,82.38,Top,0.0
C49,151.16,78.30,Top,0.0
C50,151.16,76.26,Top,0.0
C51,134.80,74.95,Top,180.0
C52,134.80,77.01,Top,180.0
C53,134.80,79.10,Top,180.0
C54,134.80,81.18,Top,180.0
C55,152.40,93.96,Top,180.0
C56,121.04,82.90,Top,90.0
C57,120.05,82.90,Top,90.0
C58,118.43,83.43,Top,90.0
C59,125.34,97.06,Top,90.0
C60,111.91,68.54,Top,180.0
C61,118.52,74.22,Top,90.0
C62,112.46,69.52,Top,180.0
C63,111.46,69.89,Top,270.0
C64,118.07,67.69,Top,180.0
C65,115.01,67.70,Top,180.0
C66,127.36,80.34,Top,0.0
C67,127.36,82.38,Top,0.0
C68,127.36,78.30,Top,0.0
C69,127.36,76.26,Top,0.0
C70,111.00,74.95,Top,180.0
C71,111.00,77.01,Top,180.0
C72,111.00,79.10,Top,180.0
C73,111.00,81.18,Top,180.0
C74,130.93,86.28,Top,180.0
C75,49.44,82.90,Top,90.0
C76,48.45,82.90,Top,90.0
C77,46.83,83.43,Top,90.0
C78,53.67,97.02,Top,90.0
C79,40.31,68.54,Top,180.0
C80,46.92,74.22,Top,90.0
C81,40.86,69.52,Top,180.0
C82,-79.64,74.82,Top,180.0
C83,-71.88,83.71,Top,180.0
C84,-71.76,76.15,Top,0.0
C85,-75.73,79.87,Top,180.0
C86,39.86,69.89,Top,270.0
C87,46.47,67.69,Top,180.0
C88,43.41,67.70,Top,180.0
C89,55.76,80.34,Top,0.0
C90,55.76,82.38,Top,0.0
C91,55.76,78.30,Top,0.0
C92,55.76,76.26,Top,0.0
C93,39.40,74.95,Top,180.0
C94,39.40,77.01,Top,180.0
C95,39.40,79.10,Top,180.0
C96,39.40,81.18,Top,180.0
C97,59.33,86.28,Top,180.0
C98,73.54,82.90,Top,90.0
C99,72.55,82.90,Top,90.0
C100,70.93,83.43,Top,90.0
C101,77.69,97.14,Top,90.0
C102,64.41,68.54,Top,180.0
C103,71.02,74.22,Top,90.0
C104,64.96,69.52,Top,180.0
C105,63.96,69.89,Top,270.0
C106,70.57,67.69,Top,180.0
C107,67.51,67.70,Top,180.0
C108,79.86,80.34,Top,0.0
C109,79.86,82.38,Top,0.0
C110,79.86,78.30,Top,0.0
C111,79.86,76.26,Top,0.0
C112,63.50,74.95,Top,180.0
C113,63.50,77.01,Top,180.0
C114,63.50,79.10,Top,180.0
C115,63.50,81.18,Top,180.0
C116,83.43,86.28,Top,180.0
C117,97.34,82.90,Top,90.0
C118,96.35,82.90,Top,90.0
C119,94.73,83.43,Top,90.0
C120,101.53,97.13,Top,90.0
C121,88.21,68.54,Top,180.0
C122,94.82,74.22,Top,90.0
C123,88.76,69.52,Top,180.0
C124,87.76,69.89,Top,270.0
C125,94.37,67.69,Top,180.0
C126,91.31,67.70,Top,180.0
C127,103.66,80.34,Top,0.0
C128,103.66,82.38,Top,0.0
C129,103.66,78.30,Top,0.0
C130,103.66,76.26,Top,0.0
C131,87.30,74.95,Top,180.0
C132,87.30,77.01,Top,180.0
C133,87.30,79.10,Top,180.0
C134,87.30,81.18,Top,180.0
C135,107.23,86.28,Top,180.0
C136,25.44,82.90,Top,90.0
C137,24.45,82.90,Top,90.0
C138,22.83,83.43,Top,90.0
C139,29.63,97.02,Top,90.0
C140,16.31,68.54,Top,180.0
C141,22.92,74.22,Top,90.0
C142,16.86,69.52,Top,180.0
C143,15.86,69.89,Top,270.0
C144,22.47,67.69,Top,180.0
C145,19.41,67.70,Top,180.0
C146,31.76,80.34,Top,0.0
C147,31.76,82.38,Top,0.0
C148,31.76,78.30,Top,0.0
C149,31.76,76.26,Top,0.0
C150,15.40,74.95,Top,180.0
C151,15.40,77.01,Top,180.0
C152,15.40,79.10,Top,180.0
C153,15.40,81.18,Top,180.0
C154,35.33,86.28,Top,180.0
C155, 1.44,82.90,Top,90.0
C156, 0.45,82.90,Top,90.0
C157,-1.17,83.43,Top,90.0
C158, 5.63,97.20,Top,90.0
C159,-7.69,68.54,Top,180.0
C160,-1.08,74.22,Top,90.0
C161,-7.14,69.52,Top,180.0
C162,-8.14,69.89,Top,270.0
C163,-1.53,67.69,Top,180.0
C164,-4.59,67.70,Top,180.0
C165, 7.76,80.34,Top,0.0
C166, 7.76,82.38,Top,0.0
C167, 7.76,78.30,Top,0.0
C168, 7.76,76.26,Top,0.0
C169,-8.60,74.95,Top,180.0
C170,-8.60,77.01,Top,180.0
C171,-8.60,79.10,Top,180.0
C172,-8.60,81.18,Top,180.0
C173,11.33,86.28,Top,180.0
C174,-21.66,82.90,Top,90.0
C175,-22.65,82.90,Top,90.0
C176,92.16,15.61,Top,180.0
C177,91.14,33.55,Top,0.0
C178,89.07,33.54,Top,180.0
C179,80.22,19.01,Top,90.0
C180,81.50,21.70,Top,90.0
C181,84.44,19.34,Top,270.0
C182,82.45,21.70,Top,90.0
C183,96.51,11.05,Top,270.0
C184,96.11,27.62,Top,0.0
C185,86.04,19.33,Top,270.0
C186,89.02,19.33,Top,270.0
C187,94.55,22.66,Top,0.0
C188,89.08,31.49,Top,90.0
C189,83.28,26.41,Top,180.0
C190,83.28,22.81,Top,180.0
C191,85.27,19.33,Top,270.0
C192,88.33,31.49,Top,90.0
C193,89.79,19.33,Top,270.0
C194,86.78,19.33,Top,270.0
C195,85.02,21.95,Top,270.0
C197,-24.27,83.43,Top,90.0
C198,-17.47,97.02,Top,90.0
C199,-30.79,68.54,Top,180.0
C200,-24.18,74.22,Top,90.0
C201,-30.24,69.52,Top,180.0
C202,-31.24,69.89,Top,270.0
C203,-24.63,67.69,Top,180.0
C204,-27.69,67.70,Top,180.0
C205,-15.34,80.34,Top,0.0
C206,-15.34,82.38,Top,0.0
C207,-15.34,78.30,Top,0.0
C208,-15.34,76.26,Top,0.0
C209,-31.70,74.95,Top,180.0
C210,-31.70,77.01,Top,180.0
C211,-31.70,79.10,Top,180.0
C212,82.52,32.20,Top,45.0
C213,83.06,31.65,Top,45.0
C214,136.20,25.66,Top,90.0
C215,134.73,23.58,Top,270.0
C216,135.47,23.58,Top,270.0
C217,141.52,37.03,Top,0.0
C218,142.40,35.28,Top,0.0
C219,142.69,42.78,Top,90.0
C220,142.69,40.08,Top,270.0
C221,129.34,34.75,Top,180.0
C222,136.29,40.69,Top,180.0
C223,129.35,33.91,Top,180.0
C224,141.52,36.26,Top,0.0
C225,136.02,28.56,Top,270.0
C226,133.79,29.21,Top,180.0
C227,137.77,28.56,Top,270.0
C228,141.48,33.31,Top,0.0
C229,141.52,34.32,Top,0.0
C230,129.10,18.51,Top,180.0
C231,144.90,15.09,Top,270.0
C232,122.54,15.90,Top,270.0
C233,-40.66, 7.60,Top,90.0
C234,-46.33, 6.91,Top,180.0
C235,-46.60, 9.77,Top,90.0
C236,-45.99, 4.34,Top,0.0
C237,-39.10, 7.81,Top,90.0
C238,-37.60,13.62,Top,0.0
C239,-37.60,11.47,Top,0.0
C240,-31.70,81.18,Top,180.0
C241,-11.77,86.28,Top,180.0
C247,88.03, 9.22,Top,0.0
C248,80.85, 8.91,Top,90.0
C249,76.55,24.03,Top,0.0
C250,90.99, 3.07,Top,90.0
C251,76.55,23.30,Top,0.0
C252,-80.00,47.76,Top,90.0
C253,-70.10,47.73,Top,90.0
C254,-52.50,28.40,Top,270.0
C255,-52.50,39.57,Top,90.0
C256,-68.80,16.46,Top,270.0
C257,-58.70,16.49,Top,270.0
C258,-74.18,59.71,Top,90.0
C259,-79.85,59.02,Top,180.0
C260,-80.12,61.88,Top,90.0
C261,-79.51,56.45,Top,0.0
C262,-72.62,59.92,Top,90.0
C263,-71.12,65.73,Top,0.0
C264,-71.12,63.58,Top,0.0
C272,-52.25,60.08,Top,90.0
C273,-57.92,59.39,Top,180.0
C274,-58.19,62.25,Top,90.0
C275,-57.58,56.82,Top,0.0
C276,-50.69,60.29,Top,90.0
C277,-49.19,66.10,Top,0.0
C278,-49.19,63.95,Top,0.0
D9,-63.30,48.99,Top,90.0
D10,-45.80,40.93,Top,90.0
D11,-51.90,15.23,Top,270.0
DISP,108.37, 4.24,Top,180.0
DVDD,87.09,34.59,Top,90.0
ESD1,84.31,10.61,Top,90.0
GND,-72.71,56.55,Top,0.0
IC1,-64.29,73.78,Top,270.0
IC2,-54.89,73.73,Top,270.0
IC3,-43.19,73.78,Top,270.0
IC4,-84.13,71.20,Top,0.0
IC5,-84.18,66.70,Top,0.0
IC6,-41.33,65.60,Top,0.0
IC7,-41.48,60.90,Top,0.0
IC8,-75.39,73.83,Top,270.0
IC11,144.60,79.57,Top,0.0
IC12,140.41,71.04,Top,180.0
IC13,151.82,96.19,Top,0.0
IC14,120.80,79.57,Top,0.0
IC15,116.61,71.04,Top,180.0
IC16,130.35,88.51,Top,0.0
IC17,49.20,79.57,Top,0.0
IC18,45.01,71.04,Top,180.0
IC19,58.75,88.51,Top,0.0
IC20,73.30,79.57,Top,0.0
IC21,69.11,71.04,Top,180.0
IC22,82.85,88.51,Top,0.0
IC23,97.10,79.57,Top,0.0
IC24,92.91,71.04,Top,180.0
IC25,106.65,88.51,Top,0.0
IC26,89.13,25.41,Top,180.0
IC27,96.36,17.52,Top,180.0
IC28,82.45,18.96,Top,180.0
IC29,94.16,10.55,Top,0.0
IC31,25.20,79.57,Top,0.0
IC32,21.01,71.04,Top,180.0
IC33,34.75,88.51,Top,0.0
IC34, 1.20,79.57,Top,0.0
IC35,-2.99,71.04,Top,180.0
IC36,10.75,88.51,Top,0.0
IC37,-21.90,79.57,Top,0.0
IC38,80.39,34.16,Top,225.0
IC39,135.28,35.07,Top,90.0
IC40,-43.16, 7.34,Top,180.0
IC41,-26.09,71.04,Top,180.0
IC42,75.57,28.31,Top,90.0
IC43,-76.68,59.45,Top,180.0
IC44,-12.35,88.51,Top,0.0
IC45,-54.75,59.82,Top,180.0
IOVDD,99.76,23.23,Top,90.0
L2,140.84,59.90,Top,90.0
L3,117.04,59.90,Top,90.0
L4,45.44,59.90,Top,90.0
L5,69.54,59.90,Top,90.0
L6,93.34,59.90,Top,90.0
L7,21.44,59.90,Top,90.0
L8,-2.56,59.90,Top,90.0
L9,-25.66,59.90,Top,90.0
L10,130.16,29.83,Top,270.0
L11,-43.18,11.99,Top,90.0
L13,-76.70,64.10,Top,90.0
L15,-54.77,64.47,Top,90.0
PORT1,143.08,96.81,Top,180.0
PORT2,119.39,96.86,Top,180.0
PORT3,95.73,96.89,Top,180.0
PORT4,71.89,96.85,Top,180.0
PORT5,47.76,96.89,Top,180.0
PORT6,23.76,96.87,Top,180.0
PORT7,-0.17,96.89,Top,180.0
PORT8,-23.26,96.89,Top,180.0
R1,-76.72,71.27,Top,90.0
R2,-78.05,95.82,Top,0.0
R3,-63.02,71.08,Top,270.0
R4,-65.62,71.15,Top,90.0
R5,137.57,73.24,Top,180.0
R6,-54.02,71.03,Top,270.0
R7,-55.92,71.03,Top,90.0
R8,-57.73,95.94,Top,0.0
R9,-42.22,70.98,Top,270.0
R10,-44.22,70.96,Top,90.0
R11,136.26,73.24,Top,180.0
R12,-83.08,75.92,Top,270.0
R13,-83.70,73.42,Top,0.0
R14,-85.52,75.92,Top,90.0
R15,-84.38,75.86,Top,270.0
R16,-83.84,68.92,Top,0.0
R17,-86.72,75.88,Top,90.0
R18,-39.58,69.70,Top,270.0
R19,-40.78,67.82,Top,0.0
R20,-38.32,69.74,Top,90.0
R21,-37.18,69.74,Top,270.0
R22,-40.82,63.22,Top,0.0
R23,-36.02,69.70,Top,90.0
R46,134.95,73.24,Top,180.0
R47,133.65,73.24,Top,180.0
R48,132.33,73.24,Top,180.0
R49,132.33,72.52,Top,0.0
R50,147.29,76.88,Top,90.0
R51,146.53,76.63,Top,270.0
R52,134.73,88.30,Top,270.0
R53,139.34,84.64,Top,180.0
R54,143.44,89.76,Top,270.0
R55,145.58,82.90,Top,270.0
R56,137.28,97.00,Top,90.0
R57,149.97,88.33,Top,90.0
R58,136.26,72.50,Top,180.0
R59,141.55,74.25,Top,90.0
R60,136.27,71.01,Top,180.0
R61,136.27,71.76,Top,180.0
R62,136.26,70.26,Top,180.0
R63,139.13,77.55,Top,90.0
R64,143.56,69.29,Top,0.0
R65,143.56,70.04,Top,0.0
R66,143.56,71.14,Top,180.0
R67,113.77,73.24,Top,180.0
R68,112.46,73.24,Top,180.0
R69,111.15,73.24,Top,180.0
R70,109.85,73.24,Top,180.0
R71,108.53,73.24,Top,180.0
R72,108.53,72.52,Top,0.0
R73,123.49,76.88,Top,90.0
R74,122.73,76.63,Top,270.0
R75,110.93,88.30,Top,270.0
R76,115.54,84.64,Top,180.0
R77,119.64,89.76,Top,270.0
R78,121.78,82.90,Top,270.0
R79,113.56,97.08,Top,90.0
R80,126.17,88.33,Top,90.0
R81,112.46,72.50,Top,180.0
R82,117.75,74.25,Top,90.0
R83,112.47,71.01,Top,180.0
R84,-74.12,71.23,Top,270.0
R85,112.47,71.76,Top,180.0
R86,112.46,70.26,Top,180.0
R87,115.33,77.55,Top,90.0
R88,119.76,69.29,Top,0.0
R89,119.76,70.04,Top,0.0
R90,119.76,71.14,Top,180.0
R91,42.17,73.24,Top,180.0
R92,40.86,73.24,Top,180.0
R93,39.55,73.24,Top,180.0
R94,38.25,73.24,Top,180.0
R95,36.93,73.24,Top,180.0
R96,36.93,72.52,Top,0.0
R97,51.89,76.88,Top,90.0
R98,51.13,76.63,Top,270.0
R99,39.33,88.30,Top,270.0
R100,43.94,84.64,Top,180.0
R101,48.04,89.76,Top,270.0
R102,50.18,82.90,Top,270.0
R103,41.96,97.07,Top,90.0
R104,54.57,88.33,Top,90.0
R105,40.86,72.50,Top,180.0
R106,46.15,74.25,Top,90.0
R107,40.87,71.01,Top,180.0
R108,40.87,71.76,Top,180.0
R109,40.86,70.26,Top,180.0
R110,43.73,77.55,Top,90.0
R111,48.16,69.29,Top,0.0
R112,48.16,70.04,Top,0.0
R113,48.16,71.14,Top,180.0
R114,66.27,73.24,Top,180.0
R115,64.96,73.24,Top,180.0
R116,63.65,73.24,Top,180.0
R117,62.35,73.24,Top,180.0
R118,61.03,73.24,Top,180.0
R119,61.03,72.52,Top,0.0
R120,75.99,76.88,Top,90.0
R121,75.23,76.63,Top,270.0
R122,63.43,88.30,Top,270.0
R123,68.04,84.64,Top,180.0
R124,72.14,89.76,Top,270.0
R125,74.28,82.90,Top,270.0
R126,66.14,97.04,Top,90.0
R127,78.67,88.33,Top,90.0
R128,64.96,72.50,Top,180.0
R129,70.25,74.25,Top,90.0
R130,64.97,71.01,Top,180.0
R131,64.97,71.76,Top,180.0
R132,64.96,70.26,Top,180.0
R133,67.83,77.55,Top,90.0
R134,72.26,69.29,Top,0.0
R135,72.26,70.04,Top,0.0
R136,72.26,71.14,Top,180.0
R137,90.07,73.24,Top,180.0
R138,88.76,73.24,Top,180.0
R139,87.45,73.24,Top,180.0
R140,86.15,73.24,Top,180.0
R141,84.83,73.24,Top,180.0
R142,84.83,72.52,Top,0.0
R143,99.79,76.88,Top,90.0
R144,99.03,76.63,Top,270.0
R145,87.23,88.30,Top,270.0
R146,91.84,84.64,Top,180.0
R147,95.94,89.76,Top,270.0
R148,98.08,82.90,Top,270.0
R149,89.86,97.03,Top,90.0
R150,102.47,88.33,Top,90.0
R151,88.76,72.50,Top,180.0
R152,94.05,74.25,Top,90.0
R153,88.77,71.01,Top,180.0
R154,88.77,71.76,Top,180.0
R155,88.76,70.26,Top,180.0
R156,91.63,77.55,Top,90.0
R157,96.06,69.29,Top,0.0
R158,96.06,70.04,Top,0.0
R159,96.06,71.14,Top,180.0
R160,18.17,73.24,Top,180.0
R161,16.86,73.24,Top,180.0
